spps,pcrit.r.avg,pcrit.r.sd,pcrit.r.sem,n,smr.avg,smr.sd,smr.sem,pcrit.regress.avg,pcrit.regress.sd,pcrit.sem,mo2.regress.avg,mo2.regress.sd,mo2.regress.sem,temp
arfe,34.775,19.03693778,8.513577391,5,1.692222222,0.533708202,0.238681564,42.61111111,8.028767721,3.59057408,2.5,1.008662481,0.451087575,12
arha,26.225,12.49809986,6.249049928,4,1.7225,0.341894233,0.170947117,35.2,11.00878437,5.504392186,2.3125,0.853400062,0.426700031,12
arla,44.84545455,16.58260315,4.999842973,11,1.777272727,0.389771495,0.117520527,58.65454545,11.89910615,3.587715496,2.288181818,0.527348427,0.159001533,12
clgl,28.74285714,5.358437939,2.025299172,7,1.872857143,0.595950621,0.225248162,27.21428571,6.885837778,2.602602047,1.91,0.590621142,0.223233809,12
olma,20.35,3.061745534,1.082490515,8,1.8775,0.457251103,0.161662678,33.4125,8.664778869,3.063461948,2.1925,0.545704001,0.1929355,12
arfe,44.96666667,7.751343969,4.475240527,3,2.056666667,0.220302822,0.127191894,55.43333333,14.17086212,8.181551062,2.413333333,0.110151411,0.063595947,16
arha,28.73333333,4.852147291,2.801388545,3,2.343333333,0.105987421,0.061191866,32.93333333,4.259499188,2.459223003,2.613333333,0.172433562,0.099554563,16
arla,65.56666667,17.08108115,9.861766801,3,2.816666667,0.58432297,0.337359024,65.66666667,20.39714032,11.77629446,2.886666667,0.271538825,0.156773014,16
clgl,33.2,6.35295207,3.667878588,3,2.34,0.291032644,0.168027775,35.03333333,5.407710545,3.122143139,2.553333333,0.342685473,0.19784955,16
olma,33.2,4.769346566,2.384673283,4,2.9275,0.611521327,0.305760663,33.825,3.296841923,1.648420962,2.9,0.082865353,0.041432676,16
arla,64.36666667,11.40277744,6.583396624,3,2.903333333,0.37806525,0.218276074,73.66666667,14.78862175,8.53821475,3.023333333,0.336204303,0.194107645,20
clgl,42.33333333,1.6563011,0.956265886,3,3.96,0.147986486,0.085440037,46.3,9.406380813,5.430776495,4.256666667,0.944051552,0.545048418,20
olma,46.73333333,5.987765304,3.45703791,3,4.676666667,0.660328201,0.381240665,56.76666667,22.4072161,12.93681225,5.486666667,1.271429642,0.734060246,20
