date,spps,fish.id,fish.id.mass,mass,probe,trial.no,p.crit.type,best.smr,pcrit.bestsmr,p.crit.regress,mo2.regress,smr.time.cat,smr.time.hrs
5-May-17,arha,1,arha.1,15,NFB0009,1,closed,1.56,44.4,46.3,1.47,more16hr,70
5-May-17,arha,1,arha.1,15,NFB0009,1,closed,1.58,44.5,46.3,1.47,16hr,16
5-May-17,arha,2,arha.2,10.3,NFB0010,1,closed,2.21,24,33.5,3.13,more16hr,70
5-May-17,arha,2,arha.2,10.3,NFB0010,1,closed,2.2,24,33.5,3.13,16hr,16
5-May-17,arha,4,arha.4,7.7,NFB0014,1,closed,1.43,16.5,41.3,3.03,more16hr,70
5-May-17,arha,4,arha.4,7.7,NFB0014,1,closed,1.43,16.5,41.3,3.03,16hr,16
6-May-17,clgl,1,clgl.big,15.7,NFB0014,2,closed,2.13,23.3,33.1,2.81,more16hr,45
6-May-17,clgl,1,clgl.big,15.7,NFB0014,2,closed,2.39,25.8,33.1,2.81,16hr,16
6-May-17,clgl,2,clgl.small,8.1,NFB0009,2,closed,1.91,41.9,54.5,1.83,more16hr,45
6-May-17,clgl,2,clgl.small,8.1,NFB0009,2,closed,1.91,41.9,54.5,1.83,16hr,16
6-May-17,olma,1,olma.big,7.5,NFB0010,4,closed,2.02,26.5,26.3,1.56,more16hr,45
6-May-17,olma,1,olma.big,7.5,NFB0010,4,closed,2.11,27.6,26.3,1.56,16hr,16
18-Apr-17,olma,1,olma.big.1,7.6,NFB0014,2,closed,1.99,16.1,35.1,3.1,more16hr,70
18-Apr-17,olma,1,olma.big.1,7.6,NFB0014,2,closed,2.46,19.8,35.1,3.1,16hr,16
6-May-17,olma,2,olma.small,5.8,NFB0012,4,closed,1.18,8.8,18.5,1.87,more16hr,45
6-May-17,olma,2,olma.small,5.8,NFB0012,4,closed,1.43,9.9,18.5,1.87,16hr,16
