species,spps,acc_temp,trial_number,loe_order,loe_temp,mass_g,common_name,distribution,max_depth_fishbase_mandic,notes
Oligocottus_maculosus,olma,12,1,1,27.6,.,Tidepool,intertidal,0,very gravid
Oligocottus_maculosus,olma,12,1,2,28.4,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,3,28.6,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,4,28.8,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,5,29.1,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,6,29.2,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,7,29.4,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,7,29.4,.,Tidepool,intertidal,0,
Oligocottus_maculosus,olma,12,1,7,29.4,.,Tidepool,intertidal,0,
Clinocottus_globiceps,clgl,12,1,1,25.9,11.8,Mosshead,intertidal,0,
Clinocottus_globiceps,clgl,12,1,2,26.6,24.7,Mosshead,intertidal,0,
Clinocottus_globiceps,clgl,12,1,3,27.5,5,Mosshead,intertidal,0,
Clinocottus_globiceps,clgl,12,1,4,28.4,24.9,Mosshead,intertidal,0,
Clinocottus_globiceps,clgl,12,1,4,28.4,4.3,Mosshead,intertidal,0,
Clinocottus_globiceps,clgl,12,1,5,28.6,12.5,Mosshead,intertidal,0,
Artedius_lateralis,arla,12,1,1,25.8,12.4,Smoothhead,intertidal,13,
Artedius_lateralis,arla,12,1,2,26,13.2,Smoothhead,intertidal,13,
Artedius_lateralis,arla,12,1,3,26.9,15.3,Smoothhead,intertidal,13,
Artedius_lateralis,arla,12,1,3,26.9,21.2,Smoothhead,intertidal,13,
Artedius_lateralis,arla,12,1,4,27.2,23.7,Smoothhead,intertidal,13,
Artedius_lateralis,arla,12,1,5,27.4,17.7,Smoothhead,intertidal,13,
Artedius_fenestralis,arfe,12,1,1,24.6,49.3,Padded,subtidal,55,
Artedius_fenestralis,arfe,12,1,2,25.5,32.7,Padded,subtidal,55,
Artedius_fenestralis,arfe,12,1,3,25.7,36.1,Padded,subtidal,55,very gravid
Artedius_fenestralis,arfe,12,1,4,26.6,26.7,Padded,subtidal,55,
Artedius_fenestralis,arfe,12,1,4,26.6,47.5,Padded,subtidal,55,
Artedius_fenestralis,arfe,12,1,5,26.9,44.6,Padded,subtidal,55,
Rhamphocottus_richardsonii,rhri,12,1,1,24.6,4.5,Grunt,subtidal,165,
Rhamphocottus_richardsonii,rhri,12,1,2,24.7,4,Grunt,subtidal,165,
Enophrys_bison,enbi,12,2,1,20.1,44.1,Buffalo,subtidal,20,
Enophrys_bison,enbi,12,2,2,20.5,19.9,Buffalo,subtidal,20,
Enophrys_bison,enbi,12,2,3,20.9,46.4,Buffalo,subtidal,20,
Enophrys_bison,enbi,12,2,4,21.1,24.1,Buffalo,subtidal,20,
Enophrys_bison,enbi,12,2,5,21.5,10.5,Buffalo,subtidal,20,
Scorpaenichthys_marmoratus,scma,12,2,1,25.8,15.2,Cabezon,subtidal,200,
Scorpaenichthys_marmoratus,scma,12,2,2,26,19.6,Cabezon,subtidal,200,
Scorpaenichthys_marmoratus,scma,12,2,3,26.5,18.4,Cabezon,subtidal,200,
Scorpaenichthys_marmoratus,scma,12,2,4,26.7,15.2,Cabezon,subtidal,200,
Scorpaenichthys_marmoratus,scma,12,2,5,26.8,18.1,Cabezon,subtidal,200,
Artedius_harringtoni,arha,12,1,1,22.5,6.9,Scalyhead,subtidal,21,
Artedius_harringtoni,arha,12,1,2,24.5,9,Scalyhead,subtidal,21,
Artedius_harringtoni,arha,12,1,2,24.5,9.5,Scalyhead,subtidal,21,
Artedius_harringtoni,arha,12,1,3,24.7,10,Scalyhead,subtidal,21,
Artedius_harringtoni,arha,12,1,4,25.1,10,Scalyhead,subtidal,21,
Artedius_harringtoni,arha,12,1,5,25.6,15.1,Scalyhead,subtidal,21,
Artedius_harringtoni,arha,12,1,6,25.8,14.2,Scalyhead,subtidal,21,
Hemilepidotus_hemilepidotus,hehe,12,1,1,26.6,686,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,2,26.8,427,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,2,26.8,468,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,4,27.1,783,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,5,27.3,784,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,5,27.3,472,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,7,27.6,806,Red Irish Lord,subtidal,450,
Hemilepidotus_hemilepidotus,hehe,12,1,8,27.8,755,Red Irish Lord,subtidal,450,
