body_weight_g,pcrit_mgO2_perL,temp
0.025052151,2.632098301,15
0.026119142,2.32747267,15
0.026337933,2.003764331,15
0.167817992,1.435539863,15
0.154387003,1.245788791,15
0.154387003,1.131444634,15
1.556397011,2.239892524,15
1.492816736,1.267176099,15
1.663805732,1.042494076,15
5.814593997,1.198674501,15
5.13071295,1.10916641,15
6.320438078,0.791948227,15
0.033546118,2.625398595,20
0.034684336,1.940711814,20
0.033267448,1.859390203,20
0.162310796,1.572161995,20
0.131758288,1.42773369,20
0.174965496,1.174671869,20
1.663805732,2.394832516,20
1.480415818,2.123192791,20
1.556397011,2.04521471,20
5.173691112,0.773048244,20
5.912415579,0.764866892,20
6.011882858,0.711591327,20
0.025052151,2.229944626,30
0.030861319,1.776692919,30
0.025902169,1.635217855,30
0.145630146,1.447014936,30
0.148080149,1.104517839,30
0.163670416,0.981949089,30
2.032587736,1.612213057,30
1.869913494,1.590741992,30
1.556397011,1.395262364,30
4.603430563,1.097313604,30
5.13071295,0.862627403,30
4.603430563,0.824249794,30
